index,po_id,supplier_name,amount_mad,supplier_risk,urgency
45,PO-2026-1046,Agadir Packaging,191266,low,urgent
46,PO-2026-1047,Fes Technical Services,23587,medium,normal
47,PO-2026-1048,Atlas Industrial,40908,high,normal
48,PO-2026-1049,Casa Equipment,58229,low,normal
49,PO-2026-1050,Rabat Supplies,75550,medium,urgent
50,PO-2026-1051,Tanger Logistics Parts,92871,low,urgent
51,PO-2026-1052,Kenitra Maintenance,110192,low,normal
52,PO-2026-1053,Marrakech Office Solutions,127513,medium,normal
53,PO-2026-1054,Agadir Packaging,144834,low,normal
54,PO-2026-1055,Fes Technical Services,162155,low,urgent
55,PO-2026-1056,Atlas Industrial,179476,high,urgent
56,PO-2026-1057,Casa Equipment,196797,low,normal
57,PO-2026-1058,Rabat Supplies,29118,low,normal
58,PO-2026-1059,Tanger Logistics Parts,46439,medium,normal
59,PO-2026-1060,Kenitra Maintenance,63760,low,urgent
60,PO-2026-1061,Marrakech Office Solutions,81081,low,urgent
61,PO-2026-1062,Agadir Packaging,98402,medium,normal
62,PO-2026-1063,Fes Technical Services,115723,low,normal
63,PO-2026-1064,Atlas Industrial,133044,high,normal
64,PO-2026-1065,Casa Equipment,150365,medium,urgent
65,PO-2026-1066,Rabat Supplies,167686,low,urgent
66,PO-2026-1067,Tanger Logistics Parts,185007,low,normal
67,PO-2026-1068,Kenitra Maintenance,202328,medium,normal
68,PO-2026-1069,Marrakech Office Solutions,34649,low,normal
69,PO-2026-1070,Agadir Packaging,51970,low,urgent
70,PO-2026-1071,Fes Technical Services,69291,medium,urgent
71,PO-2026-1072,Atlas Industrial,86612,high,normal
72,PO-2026-1073,Casa Equipment,103933,low,normal
73,PO-2026-1074,Rabat Supplies,121254,medium,normal
74,PO-2026-1075,Tanger Logistics Parts,138575,low,urgent
75,PO-2026-1076,Kenitra Maintenance,155896,low,urgent
76,PO-2026-1077,Marrakech Office Solutions,173217,medium,normal
77,PO-2026-1078,Agadir Packaging,190538,low,normal
78,PO-2026-1079,Fes Technical Services,22859,low,normal
79,PO-2026-1080,Atlas Industrial,40180,high,urgent
80,PO-2026-1081,Casa Equipment,57501,low,urgent
81,PO-2026-1082,Rabat Supplies,74822,low,normal
82,PO-2026-1083,Tanger Logistics Parts,92143,medium,normal
83,PO-2026-1084,Kenitra Maintenance,109464,low,normal
84,PO-2026-1085,Marrakech Office Solutions,126785,low,urgent
85,PO-2026-1086,Agadir Packaging,144106,medium,urgent
86,PO-2026-1087,Fes Technical Services,161427,low,normal
87,PO-2026-1088,Atlas Industrial,178748,high,normal
88,PO-2026-1089,Casa Equipment,196069,medium,normal
89,PO-2026-1090,Rabat Supplies,28390,low,urgent
90,PO-2026-1091,Tanger Logistics Parts,45711,low,urgent
91,PO-2026-1092,Kenitra Maintenance,63032,medium,normal
92,PO-2026-1093,Marrakech Office Solutions,80353,low,normal
93,PO-2026-1094,Agadir Packaging,97674,low,normal
94,PO-2026-1095,Fes Technical Services,114995,medium,urgent
95,PO-2026-1096,Atlas Industrial,132316,high,urgent
96,PO-2026-1097,Casa Equipment,149637,low,normal
97,PO-2026-1098,Rabat Supplies,166958,medium,normal
98,PO-2026-1099,Tanger Logistics Parts,184279,low,normal
99,PO-2026-1100,Kenitra Maintenance,201600,low,urgent
